Time,Name,Description,Mac_Address,State,SSID,BSSID,Radio_Type,Authentication,Cipher,Channel,Receive_Rate,Transmit_Rate,Signal
14:18:57.47,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,86
14:19:02.18,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,86
14:19:07.17,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,86
14:19:12.20,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,86
14:19:13.05,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,86
14:19:18.19,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,86
14:19:23.27,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,86
14:19:28.24,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,86
14:19:33.24,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,86
14:19:38.23,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,86
14:19:43.20,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,86
14:19:48.25,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,86
14:19:53.25,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,86
14:19:58.18,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,86
14:20:03.20,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,86
14:20:08.24,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,86
14:20:13.18,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,65
14:20:18.15,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,80
14:20:23.25,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,82
14:20:28.23,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,64,173,173,70
14:20:33.29,Wi-Fi,Intel(R) Dual Band Wireless-AC 8260,74:70:fd:3e:57:7e,connected,srp,a8:bd:27:e4:56:10,802.11ac,WPA2,CCMP,0,173,173,53
